title,publication_date,capture_time,language,domain,url,original_capture_url,archive_playback_url,article_url
"John Mulaney and Pete Davidson, 'devastated' by Maine shooting, postpone Bangor shows",2023-10-26,2023-10-27T03:45:35Z,en,latimes.com,https://www.latimes.com/entertainment-arts/story/2023-10-26/john-mulaney-pete-davidson-postpone-maine-shows-shooting,https://web.archive.org/web/20231027034535id_/https://www.latimes.com/entertainment-arts/story/2023-10-26/john-mulaney-pete-davidson-postpone-maine-shows-shooting,https://web.archive.org/web/20231027034535/https://www.latimes.com/entertainment-arts/story/2023-10-26/john-mulaney-pete-davidson-postpone-maine-shows-shooting,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLGxhdGltZXMpL2VudGVydGFpbm1lbnQtYXJ0cy9zdG9yeS8yMDIzLTEwLTI2L2pvaG4tbXVsYW5leS1wZXRlLWRhdmlkc29uLXBvc3Rwb25lLW1haW5lLXNob3dzLXNob290aW5n
âShe was robbed of her lifeâ: 16-year-old Claudia Quaatey dreamed of becoming a nurse before she was fatally shot in New York City,2023-10-25,2023-10-26T01:43:35Z,en,cnn.com,https://www.cnn.com/2023/10/25/us/claudia-quaatey-us-gun-deaths-gdpr/index.html,https://web.archive.org/web/20231026014335id_/https://www.cnn.com/2023/10/25/us/claudia-quaatey-us-gun-deaths-gdpr/index.html,https://web.archive.org/web/20231026014335/https://www.cnn.com/2023/10/25/us/claudia-quaatey-us-gun-deaths-gdpr/index.html,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLGNubikvMjAyMy8xMC8yNS91cy9jbGF1ZGlhLXF1YWF0ZXktdXMtZ3VuLWRlYXRocy1nZHByL2luZGV4Lmh0bWw~
Afternoon Update: Australia calls for humanitarian pauses in Gaza; Polish bishop resigns after gay orgy scandal; and Vegemite turns 100,2023-10-25,2023-10-26T08:21:07Z,en,theguardian.com,https://www.theguardian.com/australia-news/2023/oct/25/afternoon-update-australia-calls-for-humanitarian-pauses-in-gaza-polish-bishop-resigns-after-gay-orgy-scandal-and-vegemite-turns-100,https://web.archive.org/web/20231026082107id_/https://www.theguardian.com/australia-news/2023/oct/25/afternoon-update-australia-calls-for-humanitarian-pauses-in-gaza-polish-bishop-resigns-after-gay-orgy-scandal-and-vegemite-turns-100,https://web.archive.org/web/20231026082107/https://www.theguardian.com/australia-news/2023/oct/25/afternoon-update-australia-calls-for-humanitarian-pauses-in-gaza-polish-bishop-resigns-after-gay-orgy-scandal-and-vegemite-turns-100,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLHRoZWd1YXJkaWFuKS9hdXN0cmFsaWEtbmV3cy8yMDIzL29jdC8yNS9hZnRlcm5vb24tdXBkYXRlLWF1c3RyYWxpYS1jYWxscy1mb3ItaHVtYW5pdGFyaWFuLXBhdXNlcy1pbi1nYXphLXBvbGlzaC1iaXNob3AtcmVzaWducy1hZnRlci1nYXktb3JneS1zY2FuZGFsLWFuZC12ZWdlbWl0ZS10dXJucy0xMDA~
Man arrested in September fatal shooting near San Jose flea market,2023-10-25,2023-10-26T03:02:25Z,en,cbsnews.com,https://www.cbsnews.com/sanfrancisco/news/man-arrested-in-september-fatal-shooting-near-san-jose-flea-market/,https://web.archive.org/web/20231026030225id_/https://www.cbsnews.com/sanfrancisco/news/man-arrested-in-september-fatal-shooting-near-san-jose-flea-market/,https://web.archive.org/web/20231026030225/https://www.cbsnews.com/sanfrancisco/news/man-arrested-in-september-fatal-shooting-near-san-jose-flea-market/,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLGNic25ld3MpL3NhbmZyYW5jaXNjby9uZXdzL21hbi1hcnJlc3RlZC1pbi1zZXB0ZW1iZXItZmF0YWwtc2hvb3RpbmctbmVhci1zYW4tam9zZS1mbGVhLW1hcmtldA~~
Pittsburgh man arrested in connection with fatal shooting,2023-10-25,2023-10-26T03:06:42Z,en,cbsnews.com,https://www.cbsnews.com/pittsburgh/news/man-arrested-pittsburgh-manchester-shooting/,https://web.archive.org/web/20231026030642id_/https://www.cbsnews.com/pittsburgh/news/man-arrested-pittsburgh-manchester-shooting/,https://web.archive.org/web/20231026030642/https://www.cbsnews.com/pittsburgh/news/man-arrested-pittsburgh-manchester-shooting/,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLGNic25ld3MpL3BpdHRzYnVyZ2gvbmV3cy9tYW4tYXJyZXN0ZWQtcGl0dHNidXJnaC1tYW5jaGVzdGVyLXNob290aW5n
Man sentenced to 18-54 months for shooting Pittsburgh-area officer in foot,2023-10-25,2023-10-26T04:16:41Z,en,cbsnews.com,https://www.cbsnews.com/pittsburgh/news/man-sentenced-shooting-duquesne-officer-foot/,https://web.archive.org/web/20231026041641id_/https://www.cbsnews.com/pittsburgh/news/man-sentenced-shooting-duquesne-officer-foot/,https://web.archive.org/web/20231026041641/https://www.cbsnews.com/pittsburgh/news/man-sentenced-shooting-duquesne-officer-foot/,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLGNic25ld3MpL3BpdHRzYnVyZ2gvbmV3cy9tYW4tc2VudGVuY2VkLXNob290aW5nLWR1cXVlc25lLW9mZmljZXItZm9vdA~~
Border State Cops in Mexico Behind Migrant Mass Killing Get 50 Years in Prison,2023-10-25,2023-10-26T07:11:10Z,en,breitbart.com,https://www.breitbart.com/border/2023/10/25/mexican-border-state-cops-behind-migrant-mass-killing-get-50-years-in-prison/,https://web.archive.org/web/20231026071110id_/https://www.breitbart.com/border/2023/10/25/mexican-border-state-cops-behind-migrant-mass-killing-get-50-years-in-prison/,https://web.archive.org/web/20231026071110/https://www.breitbart.com/border/2023/10/25/mexican-border-state-cops-behind-migrant-mass-killing-get-50-years-in-prison/,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLGJyZWl0YmFydCkvYm9yZGVyLzIwMjMvMTAvMjUvbWV4aWNhbi1ib3JkZXItc3RhdGUtY29wcy1iZWhpbmQtbWlncmFudC1tYXNzLWtpbGxpbmctZ2V0LTUwLXllYXJzLWluLXByaXNvbg~~
"The Nashville police chief's son, who was wanted in the shooting of 2 officers, was found dead after a car chase, officials say",2023-10-25,2023-10-26T03:48:52Z,en,cnn.com,https://www.cnn.com/2023/10/25/us/nashville-police-chief-son-found-dead/index.html,https://web.archive.org/web/20231026034852id_/https://www.cnn.com/2023/10/25/us/nashville-police-chief-son-found-dead/index.html,https://web.archive.org/web/20231026034852/https://www.cnn.com/2023/10/25/us/nashville-police-chief-son-found-dead/index.html,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLGNubikvMjAyMy8xMC8yNS91cy9uYXNodmlsbGUtcG9saWNlLWNoaWVmLXNvbi1mb3VuZC1kZWFkL2luZGV4Lmh0bWw~
Woman accused of shooting at boyfriend driving on Pittsburgh-area highway,2023-10-25,2023-10-26T06:53:52Z,en,cbsnews.com,https://www.cbsnews.com/pittsburgh/video/woman-accused-of-shooting-at-boyfriend-driving-on-pittsburgh-area-highway/,https://web.archive.org/web/20231026065352id_/https://www.cbsnews.com/pittsburgh/video/woman-accused-of-shooting-at-boyfriend-driving-on-pittsburgh-area-highway/,https://web.archive.org/web/20231026065352/https://www.cbsnews.com/pittsburgh/video/woman-accused-of-shooting-at-boyfriend-driving-on-pittsburgh-area-highway/,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLGNic25ld3MpL3BpdHRzYnVyZ2gvdmlkZW8vd29tYW4tYWNjdXNlZC1vZi1zaG9vdGluZy1hdC1ib3lmcmllbmQtZHJpdmluZy1vbi1waXR0c2J1cmdoLWFyZWEtaGlnaHdheQ~~
State police investigating school threat made on social media in Westmoreland County,2023-10-25,2023-10-26T01:43:27Z,en,cbsnews.com,https://www.cbsnews.com/pittsburgh/news/state-police-investigating-school-threat-made-on-social-media-in-westmoreland-county/,https://web.archive.org/web/20231026014327id_/https://www.cbsnews.com/pittsburgh/news/state-police-investigating-school-threat-made-on-social-media-in-westmoreland-county/,https://web.archive.org/web/20231026014327/https://www.cbsnews.com/pittsburgh/news/state-police-investigating-school-threat-made-on-social-media-in-westmoreland-county/,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y29tLGNic25ld3MpL3BpdHRzYnVyZ2gvbmV3cy9zdGF0ZS1wb2xpY2UtaW52ZXN0aWdhdGluZy1zY2hvb2wtdGhyZWF0LW1hZGUtb24tc29jaWFsLW1lZGlhLWluLXdlc3Rtb3JlbGFuZC1jb3VudHk~
